
КОД,НАЗВА,ЦІНА грн.,СЕКЦІЯ,КІЛЬКІСТЬ,ДАТА,КОРОБКА,ПРОСРОЧКА,,ОЧІКУЄМ,ТЕСТЕРИ
СЕКЦІЯ 1,,,,,,,,,,
Новинки ! 1 секція - Регулярна лінія,,,,,,,,,,
10198185,Двоетапна зволожувальна тканинна маска,1520,1,,,7,03/25(2),,,
10072684,Екстразволожувальний нічний крем Mary Kay®,550,1,5,"08/25(2), 12/26(2), 08/27(1)",7,10/24(10),,,
10235073,Живильна олія Mary Kay,1580,1,2,07/27(2),,,,,
10197546,Знежирений зволожувальний гель для нормальної і жирної шкіри обличчя,980,1,4,"07/26(3), 01/27(1)",7,,,,
10031546,Інтенсивно зволожувальний крем для сухої шкіри,980,1,6,"09/26 (5), 09/27(1)",7,,,,
10160887,Міцелярна вода,700,1,6,08/26(6),4,"05/24(3), 02/24(3)",,,
10235391,Щітка для глибокого очищення обличчя Skinvigorate Sonic,2680,1,,,,,,,
10155885,Оновлювальна маска з рожевою глиною," 630,00",1,,,,09/24(9),,,
Засоби з догляду за шкірою навколо очей,,,,,,,,,,
10203702,Гідрогелеві патчі під очі Mary Kay®,1670,1,8,"10/25(2), 02/27(5), 12/26(1)",4,,,,
10190661,Заспокійливий гель для шкіри навколо очей,660,1,8,"12/26(6), 07/26(1), 08/27(1)",6,,,,
Засоби для захисту від сонця,,,,,,,,,,
237289,sunscreen spf 50+,?,1,1,10/26(1),22,,,,
229068,after-sun replenishing gel,?,1,1,06/27(1),22,,,,
10183255,Мінеральний сонцезахисний крем SPF30,1150,1,9,"08/25(3), 07/26(2), 08/26(5)",22,,,,
Засоби для зняття макіяжу,,,,,,,,,,
10179025,Знежирений засіб для зняття макіяжу з очей,1050,1,21,"01/26, 02/26(2), 06/26(9), 09/26(5), 04/27(2), 09/27(2)",3,,,,
База під макіяж та Тональні основи,,,,,,,,,,
10233088,Вирівнювальна основа SPF 15,770,1,,,2,"08/24(7), 07/24(3)",,,
10099994,Матова тональна основа TimeWise® 3D - Бежевий Н 150,770,1,1,02/26(1),2,,,,
10099999,Матова тональна основа TimeWise® 3D - Бежевий Н 190,770,1,1,04/26(1),2,,,,
10100002,Матова тональна основа TimeWise® 3D - Бежевий Н 210,770,1,1,02/26(1),,,,,
10099989,Матова тональна основа TimeWise® 3D - Бежевий Т 100,770,1,1,05/26(1),2,,,,
10099998,Матова тональна основа TimeWise® 3D - Бежевий Т 180,770,1,2,"05/26(1), 10/26(1)",2,,,,
10099990,Матова тональна основа TimeWise® 3D - Бежевий Х 110,770,1,1,"05/26(1), 12/26(1)",2,,,,
10099986,Матова тональна основа TimeWise® 3D - Слонова Кістка Н 140,770,1,5,"03/26(4), 11/26(1)",2,,,,
10099987,Матова тональна основа TimeWise® 3D - Слонова Кістка Н 160,770,1,1, 12/26(1),2,03/24(3),,,
10099985,Матова тональна основа TimeWise® 3D - Слонова Кістка Т 130,770,1,1,12/26(1),2,"06/24(1), 02/24(3)",,,
10099983,Матова тональна основа TimeWise® 3D - Слонова Кістка Х 100,770,1,1,07/26(1),2,,,,
10099984,Матова тональна основа TimeWise® 3D - Слонова Кістка Х 110,770,1,1,05/26(1),2,,,,
10100056,Сяюча тональна основа TimeWise® 3D - Бежевий Н 150,770,1,1,04/26(1),2,,,,
10100061,Сяюча тональна основа TimeWise® 3D - Бежевий Н 190,770,1,1,01/26(1),2,,,,
10100049,Сяюча тональна основа TimeWise® 3D - Бежевий Т 100,770,1,1,06/26(1),2,,,,
10100058,Сяюча тональна основа TimeWise® 3D - Бежевий Т 180,770,1,1,04/26(1),2,,,,
10100050,Сяюча тональна основа TimeWise® 3D - Бежевий Х 110,770,1,1,04/26(1),2,,,,
10100046,Сяюча тональна основа TimeWise® 3D - Слонова Кістка Н 140,770,1,4,"07/26(2), 01/26(2)",2,,,,
10100047,Сяюча тональна основа TimeWise® 3D - Слонова Кістка Н 160,770,1,3,", 05/26(1)",2(2),"03/24(1), 07/24(1)",,,
10100044,Сяюча тональна основа TimeWise® 3D - Слонова Кістка Т 120,770,1,1,07/26(1),2,,,,
10100045,Сяюча тональна основа TimeWise® 3D - Слонова Кістка Т 130,770,1,3,"05/25(1), 10/25, 05/26(1)",2,,,,
10100042,Сяюча тональна основа TimeWise® 3D - Слонова Кістка Х 100,770,1,1,01/26(1),,,,,
10100043,Сяюча тональна основа TimeWise® 3D - Слонова Кістка Х 110,770,1,1,03/26(1),,,,,
СС Крем SPF15,,,,,,,,,,
10072827,СС Крем SPF 15 - Помірно Світлий,770,1,13,"08/25(6), 06/25(2), 12/25(4), 10/25(2), 05/26(1)",35,,,,
10072828,СС Крем SPF 15 - Помірно Темний,770,1,1,05/25(1),35,10/24(1),,,
10072826,СС Крем SPF 15 - Світлий,770,1,7,"10/25(7), 01/26(1)",,,,,
Корегувальні засоби - Матуючі серветки,,,,,,,,,,
10041758,Серветки з матуючим ефектом Mary Kay®,260,1,,,,,,,
Маскувальні засоби,,,,,,,,,,
10092241,Коректор для шкіри навколо очей,630,1,1,08/25(1),1,,,,
10092243,Маскувальний засіб Perfecting Concealer™ - Помірно світлий,630,1,,,,,,,
10092242,Маскувальний засіб Perfecting Concealer™ - Світлий,630,1,,,,,,,
10092244,Маскувальний засіб Perfecting Concealer™ - Світло-бежевий,630,1,,,,,,,
Пудри,,,,,,,,,,
10016435,Компактна мінеральна пудра Mary Kay® - Бежевий 1,490,1,2,04/25(1),,03/24(2),,,
10016436,Компактна мінеральна пудра Mary Kay® - Бежевий 2,490,1,1,01/26(1),,,,,
10016433,Компактна мінеральна пудра Mary Kay® - Слонова кістка 1,490,1,,,,10/24(1),,,
10016434,Компактна мінеральна пудра Mary Kay® - Слонова кістка 2,490,1,,,1,"03/24(2), 01/25(1)",,,
10060189,Прозора розсипчаста пудра,770,1,4," 09/25(2),01/26(1), 01/27(1)",12,"12/24(1), 10/24(1), 05/25(1), 08/24(4)",,,
10175914,Шовковиста пудра Mary Kay® - Нейтральний бежевий 1,820,1,1,01/27(1),12,,,,
10175904,Шовковиста пудра Mary Kay® - Нейтральний світлий 1,820,1,,,,04/25(1),,,
10175905,Шовковиста пудра Mary Kay® - Нейтральний світлий 2,820,1,4,"06/25(2), 06/26(1), 01/27(1)",12,,,,
10175908,Шовковиста пудра Mary Kay® Помірно-світлий/Deep IvoryМатовий,820,1,,,,04/25(1),,,
10175912,Шовковиста пудра Mary Kay® - Світло-бежевий,820,1,2,"05/25(1),07/25(1)",12,,,,
10175920,Шовковиста пудра Mary Kay® - Нейтральний бронзовий 1,820,1,,,,,,,
Рум'яна,,,,,,,,,,
10203695,Кремові рум'яна для щік та губ Бузковий Гламур Натуральний,550,1,1,08/25(1),1,,,,
10144020,Рум'яна Chromafusion™ - Зухвала Троянда,490,1,,,1,06/24(2),,,
10144019,Рум'яна Chromafusion™ - Ніжний Рум'янець,490,1,,,1,10/24,,,
10144018,Рум'яна Chromafusion™ - Пелюстки Троянди,490,1,1,04/25(1),1,,,,
10144012,Рум'яна Chromafusion™ - Рожевий Блиск,490,1,1,02/26(1),1,,,,
10144017,Рум'яна Chromafusion™ - Рожевий Нюд,490,1,1,"11/25(1), 02/26(1)",1,,,,
10144021,Рум'яна Chromafusion™ - Соковитий Персик,490,1,1,02/25(1),1,,,,
10144023,Рум'яна Chromafusion™ - Троянда Пустель,490,1,1,11/24(1),1,,,,
10203694,"Кремові румяна для щік та губ, Лілові Сутінки / MAUVE SUNSET"," 550,00",1,1,08/25,1,,,,
10203696,"Кремові румяна для щік та губ, Ягідний Глінтвейн / SPICED BERRY"," 550,00",1,1,08/25(1),1,,,,
Засоби для контурингу та хайлайтери,,,,,,,,,,
10144111,Пудра-контуринг Chromafusion™ - Какао,490,1,,,,,,,
10144110,Пудра-контуринг Chromafusion™ - Латте,490,1,,,,"07/24(2), 11/25(1)",,,
10144112,Пудра-хайлайтер Chromafusion™ - Глазур,490,1,,,,05/24(3),,,
10144113,Пудра-хайлайтер Chromafusion™ - Медове Сяйво,490,1,,,,,,,
Олівці для очей,,,,,,,,,,
10205925,Водостійкий олівець-лайнер для очей Мідь (Copper)Мерехтливий,540,1,,,,,,,
10239157,"Водостійкий олівець-лайнер для очей, Коричневий",540,1,2,07/26(2),1,,,,
10239161,"Водостійкий олівець-лайнер для очей, Синій",540,1,4,"01/26(2),01/27(2)",1,,,,
10239162,"Водостійкий олівець-лайнер для очей, Стальний",540,1,2,01/27(2),,,,,
10239158,"Водостійкий олівець-лайнер для очей, Чорний",540,1,4,02/27(4),,,,,
Підводка для очей,,,,,,,,,,
10141206,Водостійка підводка-олівець для очей - Чорний,680,1,,,,,,,
10085704,Гель-підводка для повік з пензликом - Чорний,770,1,,,,,,,
Тіні для повік,,,,,,,,,,
10211959,"Сяючі рідкі тіні для повік Ігристий, Мерехтливий",650,1,1,02/26(1),1,,,,
10211960,"Сяючі рідкі тіні для повік Кремовий, Мерехтливий",650,1,1,02/26(2),1,,,,
10211961,"Сяючі рідкі тіні для повік Рожевий, Мерехтливий",700,1,1,02/26(1),1,,,,
10107681,Тіні для повік Chromafusion™ - Бісквіт,330,1,1,03/25,1,,,,
10107690,Тіні для повік Chromafusion™ - Еспресо,330,1,,,,,,,
10107721,Тіні для повік Chromafusion™ - Засушена Троянда,330,1,,,,,,,
10107699,Тіні для повік Chromafusion™ - Золота Троянда,330,1,1,03/26(1),,,,,
10107688,Тіні для повік Chromafusion™ - Золоте Дерево,330,1,,,,,,,
10107732,Тіні для повік Chromafusion™ - Зоряне Небо,330,1,,,,,,,
10107692,Тіні для повік Chromafusion™ - Кашемір,330,1,1,10/25(1),1,,,,
10107722,Тіні для повік Chromafusion™ - Лілове Золото,330,1,2,"07/25(1), 10/25(1)",,,,,
10107685,Тіні для повік Chromafusion™ - Лісовий Горіх,330,1,,,,,,,
10107687,Тіні для повік Chromafusion™ - Махагон,330,1,,,,,,,
10107693,Тіні для повік Chromafusion™ - Мерехтливий Граніт,330,1,,,,,,,
10107726,"Тіні для повік ChromaFusion™, Мерло",330,1,,,,,,,
10107679,Тіні для повік Chromafusion™ - Місячний Камінь,330,1,,,,,,,
10107723,Тіні для повік Chromafusion™ - Ніжно-ліловий,330,1,1,07/26(1),1,,,,
10107680,Тіні для повік Chromafusion™ - Прозорий,330,1,,,,,,,
10107734,Тіні для повік Chromafusion™ - Темний Смарагд,330,1,,,,,,,
Палітра тіней для повік,,,,,,,,,,
10075236,Палітра мінеральних тіней для повік Mary Kay® - Піщаний Берег,570,1,,,,,,,
10075235,Палітра мінеральних тіней для повік Mary Kay® - Чай Латте,570,1,2,06/25(2),,,,,
10209217,Палітра тіней для повік до 60-ої річниці - Multicolor,1300,1,2,11/25(2),,,,,
Туші для вій,,,,,,,,,,
10212560,Водостійка туш для вій Lash Love® - Чорна,720,1,1,08/25(1),1,,,,
10222587,"Туш для вій ""Сенсація"" Темно-коричнева/Black Brown",720,1,,,,,,,
10222586,"Туш для вій ""Сенсація"" Чорна",720,1,4,"01/27(2), 05/27(2)",1,,,,
10208746,"Туш для вій ""Ідеальний об’єм"" Lash Love®, Чорна - I ♥ BLACK",720,1,6,"03/26(2), 08/26(2), 05/26(1)",1,,,,
10092109,Туш для вій Lash Intensity™ - Чорний,840,1,14," 05/26(1),10/25(2), 10/26(4), 05/26(7)","1, подарки", 01/25(2),,,
10142039,Туш для вій Lash Love Fanorama™ - Чорний,720,1,2,06/27(2),1,,,,
10208745,Туш для вій з ефектом подовження Lash Love® - Чорний,720,1,2,"01/26(1), 09/26(1)",,,,,
Догляд за бровами,,,,,,,,,,
10125036,Гель-тінт для брів - Блонд,580,1,1,07/25(1),1,,,,
10125038,Гель-тінт для брів - Брюнет,580,1,,,1,03/25(1),,,
10125037,Гель-тінт для брів - Темний Блонд,580,1,,,1,03/25(1),,,
10125039,Гель-тінт для брів - Темний Брюнет,580,1,,,,,,,
10127732,Олівець-лайнер для брів - Блонд,490,1,,,,,,,
10127734,Олівець-лайнер для брів - Брюнет,490,1,,,1,04/25(1),,,
10127733,Олівець-лайнер для брів - Темний Блонд,490,1,1,01/25(1),1,,,,
10127735,Олівець-лайнер для брів - Темний Брюнет,490,1,,,,,,,
10127736,Олівець-лайнер для брів - Чорно-коричневий,490,1,,,1,04/25(1),,,
Олівці для губ,,,,,,,,,,
10239173/10205927,"Водостійкий олівець-лайнер для губ, Бежевий Нюд",540,1,2,"01/27(1), 07/26(1)",1,,,,
10239174/10205928,"Водостійкий олівець-лайнер для губ, Ліловий Нюд",540,1,3,"07/26(1), 01/27(2)",1,,,,
10239177/10205931,"Водостійкий олівець-лайнер для губ, Рожевий",540,1,5,"07/26(3), 02/27(1), 05/27(2)",1,,,,
10239172/10205926,"Водостійкий олівець-лайнер для губ, Рожевий Нюд",540,1,5,"07/26(1), 01/27(4)",1,,,,
10239179/10205933,Водостійкий олівець-лайнер для губ Червоний/RedМатовий,540,1,1,01/26(1),1,,,,
10239180/10205934,"Водостійкий олівець-лайнер для губ, Ягідний",540,1,2,"01/26(1), 06/27(1)",1,,,,
10239178/10205932,"Водостійкий олівець-лайнер для губ, Яскраво-Рожевий",540,1,1,08/26(1),1,,,,
10208943/10208943,Оксамитова помада-олівець для губ - Містичний Рожевий,640,1,2,01/26(2),1,,,,
10208944,Оксамитова помада-олівець для губ - Рожева Троянда,640,1,1,01/26,1,,,,
Помади - Суперзволожувальна помада для губ,,,,,,,,,,
10206311,"Суперзволожувальна помада для губ Mary Kay®
  Букет бузку",780,1,1,08/27(1),,,,,
10206310,Суперзволожувальна помада для губ Mary Kay® Ніжний рум'янець,780,1,1,08/27(1),,,,,
10206313,"Суперзволожувальна помада для губ Mary Kay®
  Природній",780,1,1,08/27,,,,,
10155209,Суперзволожувальна помада для губ Mary Kay® - Дивовижний Нюд,780,1,1,04/27(1),,,,,
10155225,Суперзволожувальна помада для губ Mary Kay® - Звабливий Рожевий,780,1,,,,,,,
10155228,Суперзволожувальна помада для губ Mary Kay® - Зухвалий Червоний,780,1,,,,,,,
10155226,Суперзволожувальна помада для губ Mary Kay® - Коралове Конфеті,780,1,,,,,,,
10200876,Суперзволожувальна помада для губ Mary Kay® - Малинова Насолода,780,1,,,,,,,
10155229,Суперзволожувальна помада для губ Mary Kay® - Ніжна Фуксія,780,1,,,,,,,
10155227,Суперзволожувальна помада для губ Mary Kay® - Рожеве Свято,780,1,,,,,,,
10200875,Суперзволожувальна помада для губ Mary Kay® - Рожевий Серпанок,780,1,,,,,,,
10155231,Суперзволожувальна помада для губ Mary Kay® - Сливовий Шик,780,1,1,04/27(1),,,,,
10155223,Суперзволожувальна помада для губ Mary Kay® - Улюблена Троянда,780,1,1,11/26(1),,,,,
Помади - Гелева помада для губ,,,,,,,,,,
10089661,Гелева матова помада Mary Kay® - Лілова Мить,710,1,,,,,,,
10157984,Гелева матова помада Mary Kay® - Ніжний Оксамит,710,1,2,01/27(2),,,,,
10089663,Гелева матова помада Mary Kay® - Соковитий Абрикос,710,1,3,01/27(3),,,,,
10089662,Гелева матова помада Mary Kay® - Стильний Рожевий,710,1,,,,,,,
10146978,Гелева матова помада Mary Kay® - Фірмовий Рожевий,710,1,2,08/26(2),,,,,
10146979,Гелева матова помада Mary Kay® - Чарівний Корал,710,1,1,11/26(1),,,,,
10157981,Гелева матова помада Mary Kay® - Червона Туфелька,710,1,,,,,,,
10089667,Гелева матова помада Mary Kay® - Ягідний Коктейль,710,1,,,,,,,
10094617,Гелева помада для губ Mary Kay® - Природна Ніжність,710,1,,,,,,,
10094619,Гелева помада для губ Mary Kay® - Рожеве Дерево,710,1,2,08/27(2),,,,,
10094642,Гелева помада для губ Mary Kay® - Романтичний Рожевий,710,1,2,04/26,,,,,
10094620,Гелева помада для губ Mary Kay® - Рожеве Мереживо,710,1,3,10/26(3),,,,,
10094621,Гелева помада для губ Mary Kay® - Модний Рожевий,710,1,4,04/26(4),,,,,
10094624,Гелева помада для губ Mary Kay® - Малинове Морозиво,710,1,2,11/26(2),,,,,
10094647,Гелева помада для губ Mary Kay® - Сонячний Персик,710,1,1,02/25(1),,,,,
10094618,Гелева помада для губ Mary Kay® - Ніжна Іриска,710,1,1,11/26,,,,,
10094623,Гелева помада для губ Mary Kay® - Червоне Полум'я,710,1,2,08/26(2),,,,,
10094649,Гелева помада для губ Mary Kay® - Лілове Сяйво,710,1,1,07/26(1),,,,,
Засоби для губ з попередніх Обмежених колекцій,,,,,,,,,,
10220395,Матова рідка помада для губ Червоний нуарМатовий,710,1,1,10/26(1),,,,,
10220394,Матова рідка помада для губ Насичений махагонМатовий,710,1,2,10/26(2),помады,,,,
10203254,Матова рідка помада для губ - Орхідея бургунді,650,1,3,09/25(3),,,,,
10203256,"Матова рідка помада для губ, Романтичний ліловий / MUST HAVE MAUVE"," 650,00",1,1,09/25,,,,,
10220393,Матова рідка помада для губ Ніжний цинамонМатовий,710,1,2,11/26(2),,,,,
Блиски для губ,,,,,,,,,,
10153481,Блиск для губ Mary Kay Unlimited - Класичний Червоний,640,1,,,,,,,
10153501,Блиск для губ Mary Kay Unlimited - Ніжний Нюд,640,1,,,,,,,
10153495,Блиск для губ Mary Kay Unlimited - Оригінальний Ліловий,640,1,,,,,,,
